"Your VAT-ID is valid.","Die angegebene USt.-ID ist gültig."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Sie wurden als EU-Unternehmen bestätigt."
"We have identified you as business customer.","Sie wurden als Geschäftskunde eingestuft."
"Your VAT-ID is invalid, please check the syntax.","Die angegebene USt.-ID ist ungültig oder falsch angegeben."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Die angegebene USt.-ID ist ungültig oder falsch angegeben."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Derzeit können USt.-IDs aus diesem Mitgliedsstaat aus technischen Gründen leider nicht überprüft werden. Sie können dennoch jetzt fortfahren und später ihre Ust.-ID erneut überprüfen lassen."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Derzeit kann ihre USt.-ID aus technischen Gründen leider nicht überprüft werden. Sie können dennoch jetzt fortfahren und später ihre Ust.-ID erneut überprüfen lassen."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Es kam zu einem Fehler bei ihrer Anfrage. Wenn dieser Fehler weiterhin auftritt, nehmen Sie bitte direkt Kontakt mit uns auf."
"VAT-ID validation results","Ergebnisse der USt.-ID Validierung"
"EU VAT-ID Syntax Information","Informationen zum Aufbau der USt.-ID"
"Syntax Information","Eingabehilfe"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Bitte geben Sie Ihre USt.-ID inklusive Ländercode an."
"Please wait while we validate your VAT-ID","Bitte warten Sie, während wir Ihre USt.-ID überprüfen"

"Debug mode","Debug Modus"
"IPv6 compatibility mode","IPv6 Kompatibilitätsmodus"
"This binds your server IPv4 address to the request made to VIES instead of using your IPv6 address. You might need to enable this depending on your hosting environment. Enable it if you have problems with VIES connectivity.","Verwenden Sie diese Einstellung bei dauerhaften Verbindungsproblemen mit der EU Schnittstelle."
"Server IPv4 address","IPv4 Adresse Ihres Servers"
"Logs all module relevant information to /var/log/system.log - OFF per default.","Protokolliert relevante Informationen nach /var/log/system.log - Standart: Deaktiviert."
"License Key","Lizenzschlüssel"
"Enable EU VAT Enhanced","EU VAT Enhanced aktivieren"
"VAT validaton and customer group assignment.","USt.-ID Validierung und Kundengruppenzuweisung."
"Current EU member states","Derzeite EU-Mitgliedsstaaten"
"Own VAT-ID","Shopbetreiber USt.-ID"
"Please enter your own VAT-ID including the 2-letter country code.","Bitte geben Sie ihre eigene bzw. die USt.-ID des Shopbetreibers ein. Dies ist für eine korrekte Validierung notwendig."
"Email Recipient","Empfänger für Validierungsbetätigungen"
"Offline Validation","Offline Validierung"
"If EU-VIES is offline, do you want to allow your customers to purchase without VAT, when they enter a VAT-ID?","Möchten Sie ihren Kunden erlauben, ohne USt. zu bestellen, wenn die Abfrageschnittstelle nicht verfügbar ist?"
"Enable address fields on registration page","Zeige Addressfelder bei der Kundenregistrierung"
"Show the customer address fields on the registration page.","Zeigt die Addressfelder auf der Kundenregistrierungsseite."
"Consumer tax class including tax","Kundensteuerklasse für Konsumenten inkl. USt."
"Select the consumer tax class which is used in the tax rule where you have assigned your full tax rates to.","Bitte wählen Sie die Kundensteuerklasse für Konsumenten inkl. USt."
"Businesses tax class including tax","Kundensteuerklasse für Unternehmen inkl. USt."
"Select the business consumer tax class which is used in the tax rule where you have assigned your full tax rates to.","Bitte wählen Sie die Kundensteuerklasse für Unternehmen inkl. USt."
"Group assignment settings","Gruppenzuweisung"
"Customer group for business customers inside EU with valid VAT-ID","Kundengruppe für EU-Kunden mit gültiger USt.-ID"
"Customer group for business customers (with valid VAT-ID) from own country","Kundengruppe für Kunden mit gültiger USt.-ID aus dem Inland"
"Customer Group for customers outside EU","Kundengruppe für nicht-EU Kunden"

"Additional 0% VAT Groups","Zusätzliche USt.-freie Gruppen"
"In case you have more than one 0% VAT group, select them here.","Falls Sie mit zusätzlichen Ust.-freien Gruppen (für Rabatte o.ä.) arbeiten, außer der oben gewählten."

"Excluded Groups","Ausgenommene Kundengruppen"

"Validate VAT-ID","USt.-ID prüfen"
"Validate VAT Number","USt.-ID prüfen"
"The VAT-ID is valid.","Die USt.-ID ist gültig."
"The VAT-ID is invalid.","Die USt.-ID ist ungültig."
"The VAT-ID is invalid, please check the syntax.","DIe USt.-ID ist ungültig. Bitte überprüfen Sie die Schreibweise."
"Currently the European VIES service is unavailable.","Derzeit ist der EU MIAS Dienst leider nicht erreichbar."
"Currently the member state service is unavailable.","Derzeit kann die USt.-ID nicht überprüft werden, da der zugehörige Mitgliedsstaat nicht erreichbar ist."
"There was an error processing your request.","Allgemeiner Fehler bei der USt.-ID Abfrage"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Bitte geben Sie die USt.-ID inklusive dem zweistelligen Ländercode an."

"The customer is currently assigned to Customer Group %s.","Der Kunde ist derzeit in der Kundengruppe %s."
"Would you like to change the Customer Group for this order?","Möchten Sie die Kundengruppe für diese Bestellung ändern?"
"The VAT ID is valid. The current Customer Group will be used.","Die USt.-ID ist gültig. Die derzeitige Kundengruppe wird verwendet."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Basierend auf dem Prüfungsergebnis, würde der Kunde zur Gruppe %s gehören."
"VAT number","USt.-ID"
"VAT Number","USt.-ID"
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Die USt.-ID (%s) ist ungültig. Der Kunde würde in die Gruppe %s gehören."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Leider konnte die USt.-ID nicht beim Abfragedienst überprüft werden. Der Kunde würde in die Gruppe %s gehören."
"There was an error validating the VAT ID.","Leider konnte die USt.-ID nicht beim Abfragedienst überprüft werden."
"Please declare a VAT number before validating.","Bitte geben Sie eine USt.-ID ein, bevor Sie die Prüfung starten."

"VAT validation was cancelled.","Die Prüfung der USt.-ID wurde abgebrochen."
"You can find your license keys <![CDATA[<a href="https://www.geissweb.de/customer/account/" target="_blank">here</a>]]>.","Ihren Lizenzschlüssel erhalten Sie <![CDATA[<a href="https://www.geissweb.de/customer/account/" target="_blank">hier</a>]]>."
"Logs all module relevant information to /var/log/euvatenhanced.log - Note: This could produce a large log file in a short time.","Protokolliert alle modulrelevanten Informationen nach /var/log/euvatenhanced.log - Hinweis: Diese Option kann sehr schnell zu sehr großen Logfiles führen."
"Enables VAT validaton and calculation and customer group assignment based on validation results","Modul aktivieren?"
"Own VAT-ID *","Eigene Umsatzsteuernummer *"
"Customer tax class including tax","Kundensteuerklasse inkl. USt."
"Customer tax class tax exempt","Kundensteuerklasse exkl. USt."
"Select the customer tax class which is used in the tax rule where you have assigned your full tax rates to.","Wählen Sie hier die Kundensteuerklasse, welche Sie in der Steuerregel mit den vollen Umsatzsteuersätzen Ihres Landes zugewiesen haben."
"Select the customer tax class which is used in the tax rule where you have assigned your 0% tax rates to.","Wählen Sie hier die Kundensteuerklasse, welche Sie in der Steuerregel mit den 0% Umsatzsteuersätzen zugewiesen haben."
"The extension will assign customers based on VAT validation result data of the billing address.","Das Modul wird Kunden entsprechend der Umsatzsteuernummer-Prüfergebnisse der Rechnungsadresse in die folgenden Gruppen zuweisen."
"If you use a OSC extension, please select it here. Totals will then reload after a VAT number was validated.","Wenn Sie eine OSC Erweiterung einsetzen, wählen Sie diese bitte hier aus. Die Gesamtsummen der Bestellung werden dann automatisch neu geladen, nachdem eine Umsatzsteuernummer geprüft wurde."
"Set the desired customer group of EU business customers with valid VAT-ID.","Wählen Sie bitte die gewünschte Gruppe, welcher Kunden mit gültiger Umsatzsteuernummer innerhalb der EU zugewiesen werden."
"Set the desired B2B customer group of customers from your own country.","Wählen Sie bitte die gewünschte Gruppe, welcher Kunden mit gültiger Umsatzsteuernummer aus dem Land des Shops zugewiesen werden."
"Set the desired customer group of foreign customers outside the EU.","Wählen Sie bitte die gewünschte Gruppe, welcher Kunden außerhalb der EU zugewiesen werden."
"The selected groups will be excluded from the automatic group assignment after each VAT number validation. Use this for special discount groups for EU business customers or to lock customers in these groups.","Kunden, welche sich in einer der hier ausgewählten Kundengruppen befinden, werden nicht automatisch neu zugewiesen, nachdem sie ihre Umsatzsteuernummer validieren. Dies ist z.B. bei speziellen Kundenrabattgruppen sinnvoll."
"Send validation Email","E-Mail mit den Ergebnissen einer gültigen Umsatzsteuernummernprüfung senden"
"Whether to send an email with details after successful VAT-ID validation (Frontend or Backend)","Soll die E-Mail gesendet werden?"
"Customer Group for invalid VAT numbers","Kundengruppe für ungültige USt.-ID Nummern"
"Set the desired group for customers who used an invalid VAT number (validated through the interface).","Bitte wählen Sie die gewünschte Kundengruppe für ungültige USt.-ID Nummern."
"Customer group for customers with technical validation errors","Kundengruppe für technische Fehler bei der Prüfungsabfrage"
"Customers will be assigned to this group, if the interface did not respond due to maintenance or connection errors.","Bitte wählen Sie die Kundengruppe für technische Fehler bei der Prüfungsabfrage."

"VAT Trader Name","Eingetragener Firmenname"
"VAT Trader Address","Eingetragene Firmenadresse"
"VAT Number is valid","USt.-ID ist gültig"
"VAT Request success","USt.-ID Anfrage erfolgreich"

"Disable Cross-Border price consistency for EU customers with valid VAT number","Cross-Border Preiskonsistenz deaktivieren für EU Kunden mit gültiger USt.-ID"
"Disable Cross-Border price consistency for customers outside europe","Cross-Border Preiskonsistenz deaktivieren für Kunden außerhalb Europa."
"Order totals will be net (without VAT) instead gross for these customers. Works only when CBT is enabled (from Magento 1.9).","Die Gesamtsummen werden Netto (ohne USt.-Anteil) statt Brutto (ohne USt.-Anteil) berechnet. Funktioniert nur mit Magento 1.9."

"Excluded groups for VAT calculation","Ausgenommene Kundengruppen für die Steuerberechnung"
"The selected groups will be excluded from the VAT calculation of our module. It will allow these groups to use the regular Magento tax calculation to apply own exclusive tax rates.","Die gewählten Kundengruppen durchlaufen die Standard Magento Steuerberechnung (ohne Modifizierungen durch EU VAT Enhanced)"

"Force default customer group when VAT was applied","Kundengruppe der Bestellung immer auf Standard setzen, sofern Steuern bezahlt wurden."
"This can be useful if your external accounting software is using the customer group to determine if VAT is applied instead of taking the actual totals of the order.","Dies kann nützlich sein, wenn externe Buchhaltungssoftware die Steuern fest mit einer Kundengruppe verbindet (z.B. Sage50). Diese Einstellung betrifft nur die Kundengruppe der Bestellung!"

"EU VAT Enhanced has been installed.","EU VAT Enhanced wurde installiert."
"Please run the <a href="%s">Setup</a> to set up VAT for your country.","Bitte führen Sie das <a href="%s">Setup</a> aus, um Umsatzsteuer für Ihr Land zu konfigurieren"
"Taxes and VAT are already set up. Skip this step.","Umsatzsteuer ist bereits korrekt konfiguriert. Diesen Schritt überpringen."
"Automated Setup has been skipped. Please apply your settings now.","Automatische Einrichtung übersprungen. Bitte wenden Sie jetzt Ihre Einstellungen an."
"EU VAT Enhanced Setup completed successfully. Please now apply your settings.","Automatische Einrichtung erfolgreich. Bitte wenden Sie jetzt Ihre Einstellungen an."
"Consumers buy products with standard VAT","Konsumenten kaufen Produkte zum standard Umsatzsteuersatz"
"Consumers buy products with reduced VAT","Konsumenten kaufen Produkte zum reduzierten Umsatzsteuersatz"
"Consumers buy digital products and services","Konsumenten kaufen digitale Produkte und Leistungen"
"Domestic businesses buy digital products and services","Inländische Unternehmen kaufen digitale Produkte und Leistungen"
"Not taxable products","Nicht steuerbare Produkte"
"EU Businesses buy VAT exempt","EU Unternehmen kaufen umsatzsteuerfrei"
"Settings","Einstellungen"
"Please use the same license key for your production system and your testing/development systems.","Bitte nutzen Sie den selben Lizenzschlüssel für die Produktivumgebung sowie für Ihre Testsysteme"
"Get your key here.","Hier erhalten Sie Ihren Lizenzschlüssel."
"Your license key","Ihr Lizenzschlüssel"
"Your VAT number","USt.-ID Shopbetreiber"
"Your Country","Land (Sitz des Shopbetreibers)"
"Provide your full number including country prefix, without whitespaces, dots or slahes. Example: DE267070673","Bitte geben Sie Ihre vollständige USt.-ID inkl. Ländervorzeichen, ohne Leer- und Sonderzeichen an. Beispiel: DE267070673"
"VAT Configuration Setup","Einrichtung der Umsatzsteuer"
"Automatically apply default VAT configuration store settings for EU countries","Setzt automatisch die nötigen Konfigurationseinstellungen für die Umsatzsteuer"
"This will overwrite some of your store configuration values.","Dies wird einige Konfigurationseinstellungen überschreiben"
"Read more","Mehr erfahren"
"Tax Rules Setup","Einrichtung der Steuerregeln"
"Automatically create tax classes, tax rates and tax rules (old ones will be deleted).","Erstellt automatisch alle benötigten Steuerklassen, Steuerraten und Steuerregeln (alte Regeln werden entfernt und migriert)"
"This will replace all tax classes, rates and rules.","Dies wird alle Steuerklassen, -raten und -regeln ersetzen"
"Also add rates and rule for digital products and services (for telecommunications, broadcasting & electronic services)","Regeln zum Verkauf von digitalen Produkten und Leistungen erstellen (für Telekommunikationsdienstleistungen, Rundfunk- und Fernsehdienstleistungen und elektronisch erbrachte Dienstleistungen)"
"Also add rates and rule for not taxable products.","Regeln für nicht-steuerbare Produkte erstellen"
"Also add rates and rule for products with reduced VAT","Regeln für Produkte zum reduzierten Steuersatz erstellen"
"Reduced rate","Reduzierter Steuersatz"
"Please specify the reduced rate.","Bitte geben Sie den reduzierten Steuersatz an."
"The product attribute <i>tax_class_id</i> of your existing products will be updated with the new value.","Das Attribut <i>tax_class_id</i> der existierenden <strong>Produkte</strong> wird mit dem neuen Wert aktualisiert."
"The customer group attribute <i>tax_class_id</i> of your existing customer groups will be updated with the new value.","Das Attribut <i>tax_class_id</i> der existierenden <strong>Kundengruppen</strong> wird mit dem neuen Wert aktualisiert."
"Tax class mapping","Steuerklassen Zuordnung"
"Products with standard VAT rate","Produkte mit standard Steuersatz"
"Products with reduced VAT rate","Produkte mit reduzierten Steuersatz"
"Shipping with standard VAT rate","Versand mit standard Steuersatz"
"Shipping with reduced VAT rate","Versand mit reduzierten Steuersatz"
"Digital products and services","Digitale Produkte und Leistungen"
"Non-Taxable Products","Nicht steuerbare Produkte"
"Consumers incl. VAT","Konsumenten inkl. USt."
"Businesses incl. VAT","Unternehmen inkl. USt."
"Businesses excl. VAT","Unternehmen ohne USt."
" standard VAT"," Standard USt."
" reduced VAT"," Reduzierte USt."
" digital VAT"," Digitale USt."
" VAT exempt"," USt.-frei"
"Run setup again","Setup erneut ausführen"
"Documentation","Dokumentation"
"Knowledge Base","Wissensbasis"

"Yes","Ja"
"No","Nein"
"Valid","Gültig"
"Invalid","Ungültig"
"VAT Request Identifier","Abfragenummer"
"VAT Request Date","Abfragedatum"

"Your VAT Number is invalid. Please provide a valid VAT Number to place your order.","Ihre USt.-ID ist ungültig. Bitte verwenden Sie eine gültige USt.-ID (durch erneute Eingabe) um den Bestellvorgang abzuschließen."
"Require valid VAT number to checkout","Eine gültige USt.-ID zum Bestellen voraussetzen"
"Customers can only checkout with a valid VAT number if this option is enabled.","Kunden können nur mit gültiger USt.-ID bestellen."

"Set the customer group of the customer account according the checkout situation","Die Gruppe des Kundenkontos entsprechend der Checkout-Situation anpassen"
"If enabled, customer account group will be set to the checkout situation instead of the default billing address.","Wenn aktiviert, wird die Kundengruppe des Kundenkontos entsprechend der Checkout-Situation angepasst, anstelle der Standardrechnungsadresse."

"Set the customer group on orders according the checkout situation","Die Kundengruppe auf der Bestellung entsprechend der Checkout-Situation anpassen"
"If enabled, customer group on orders will be set to the checkout situation. If disabled, customer group on orders will be the same as the customer account. Note that guest customers do not have a customer group.","Wenn aktiviert wird die Kundengruppe der Bestellung entsprechend dem Steuerfall gesetzt. Wenn deaktiviert, wird die Gruppe des Kundenkontos verwendet. Bitte beachten Sie, dass Gastkunden mit der Gruppe 'NOT LOGGED IN' verarbeitet werden."

"Takeover used VAT number at checkout to customers account","Für den Checkout genutzte USt.-ID in das Kundenkonto übernehmen"
"Will take the VAT number from the checkout address and saves it as customer account VAT number (field taxvat).","Übernehme die USt.-ID der Checkout-Adresse in das Kundenkonto Feld 'taxvat'"

"Validate VAT number on each customer login","Überprüfe USt.-ID automatisch bei Kundenlogin"
"Validation period on customer login","Überprüfungsperiode bei Kundenlogin"
"On every login","Bei jedem Login"
"Every month","Jeden Monat"
"Every 3 months","Alle 3 Monate"
"Every 6 months","Alle 6 Monate"
"Every year","Jedes Jahr"

"Excluded groups for tax calculation","Von der Steuerberechnung ausgenommene Gruppen"
"The selected groups will be excluded from tax calculation. No tax will be applied to these groups, even if there is no VAT number or the shipping country is domestic.","Die ausgewählten Gruppen werden von der Steuerberechnung ausgenommen. Kunden dieser Gruppe werden keine Steuern berechnet, selbst wenn keine gültige USt.-ID Nummer vorliegt."
"For example if you need to apply further tax rules for customers, like equivalence tax in Spain.","Die ausgewählten Gruppen erhalten immer die Steuerberechnung anhand ihrer festgelegten Kundensteuerklassen. Dieses Modul wird keine Änderungen für die Steuerberechnung für diese Gruppen vornehmen."
"Groups which follow regular Magento tax calculation","Reguläre Magento Steuerberechnung"

"A valid VAT number is required.","Eine gültige USt.-ID wird benötigt."