"Your VAT-ID is valid.","Votre numéro de TVA est valide."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Nous vous avons identifié comme client commercial de l'UE., Vous pouvez commander exonéré de TVA dans notre boutique maintenant."
"We have identified you as business customer.","Nous vous avons identifié comme client professionnel"
"Your VAT-ID is invalid, please check the syntax.","Votre numéro de TVA n'est pas valide, vérifiez la syntaxe."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Le numéro de TVA entré n'est pas valide, vérifiez la syntaxe. Si cette erreur persiste, contactez-nous directement pour enregistrer un compte client avec l'exonération fiscale avec nous."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Actuellement, le service de vérification Européen n'est pas disponible, nous ne pouvons pas valider votre TVA pour émettre une commande exonérée de TVA. Quoi qu'il en soit, vous pouvez procéder à votre inscription et la valider plus tard dans votre compte client."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Actuellement, le service VIES européen n'est pas disponible, mais vous pouvez procéder à votre inscription et valider plus tard à partir de votre gestion de compte client."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Il y a eu une erreur lors du traitement de votre demande. Si cette erreur persiste, contactez-nous directement pour enregistrer un compte client avec l'exonération fiscale avec nous."
"VAT-ID validation results","Résultat de validation du numéro de TVA"
"EU VAT-ID Syntax Information","Informations sur la syntaxe de numéro de TVA de l'UE"
"Syntax Information","Informations de syntaxe"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Entrez votre numéro de TVA, y compris le code de pays à deux lettres (ISO-3166)."
"Please wait while we validate your VAT-ID","Veuillez patienter pendant que nous validons votre numéro de TVA"