"Your VAT-ID is valid.","Il tuo IVA-ID è valido."
"We have identified you as EU business customer, you can order VAT-exempt in our shop now.","Vi abbiamo identificato come cliente commerciale dell'Unione Europea, è possibile ordinare in esenzione IVA nel nostro negozio."
"We have identified you as business customer.","Vi abbiamo identificato come clienti commerciali."
"Your VAT-ID is invalid, please check the syntax.","Il tuo IVA-ID non è valido, si prega di controllare la sintassi."
"The given VAT-ID is invalid, please check the syntax. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","La data IVA-ID non è valido, si prega di controllare la sintassi. Se l'errore rimane contattateci direttamente a registrare un account cliente con esente da tassazione con noi."
"Currently the member state service is unavailable, we could not validate your VAT-ID to issue an VAT exempt order. Anyhow you can proceed with your registration and validate later in your customer account.","Attualmente il servizio Stato membro non è disponibile, non siamo riusciti a convalidare il IVA-ID di emettere un ordine esente IVA. In ogni caso si può procedere con la registrazione e convalidare successivamente nel tuo account cliente."
"Currently the European VIES service is unavailable, but you can proceed with your registration and validate later from your customer account management.","Attualmente il servizio europeo VIES non è disponibile, ma si può procedere con la registrazione e convalidare successivamente dal tuo account management cliente."
"There was an error processing your request. If this error remains please contact us directly to register a customer account with exempt from taxation with us.","Si è verificato un errore durante l'elaborazione della richiesta. Se l'errore rimane contattateci direttamente a registrare un account cliente con esente da tassazione con noi."
"VAT-ID validation results","Risultati della convalida IVA-ID"
"EU VAT-ID Syntax Information","Partita IVA-ID Sintassi Informazioni"
"Syntax Information","Informazioni sintassi"
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Inserisci il tuo IVA-ID tra cui la ISO-3166 codice a due lettere."
"Please wait while we validate your VAT-ID","Si prega di attendere mentre convalidare il tuo IVA-ID"

"Debug mode","Modalità di debug"
"IPv6 compatibility mode","Modalità di compatibilità IPv6"
"This binds your server IPv4 address to the request made to VIES instead of using your IPv6 address. You might need to enable this depending on your hosting environment. Enable it if you have problems with VIES connectivity.","Questo si lega l'indirizzo IPv4 del server alla richiesta fatta al VIES invece di utilizzare il proprio indirizzo IPv6. Potrebbe essere necessario attivare questa seconda dell'ambiente di hosting. Abilita se si hanno problemi con la connettività VIES."
"Server IPv4 address","Indirizzo IPv4 Server"
"Logs all module relevant information to /var/log/system.log - OFF per default.","Registra tutte le informazioni relative al modulo /var/log/system.log - OFF per impostazione predefinita."
"License Key","Chiave di licenza"
"Enable EU VAT Enhanced","Abilita IVA UE avanzata"
"VAT validaton and customer group assignment.","Convalida l'IVA e l'assegnazione gruppo di clienti."
"Current EU member states","Attuali Stati membri"
"Own VAT-ID","Propria IVA-ID"
"Please enter your own VAT-ID including the 2-letter country code.","Inserisci il tuo propria IVA-ID tra cui il codice del paese a 2 lettere."
"Email Recipient","E-mail del destinatario"
"Offline Validation","La convalida offline"
"If EU-VIES is offline, do you want to allow your customers to purchase without VAT, when they enter a VAT-ID?","Se UE-VIES è in linea, vuoi per consentire ai clienti di acquistare senza IVA, quando entrano in un IVA-ID?"
"Enable address fields on registration page","Abilita campi di indirizzo sulla pagina di registrazione"
"Show the customer address fields on the registration page.","Mostra i campi indirizzo del cliente nella pagina di registrazione."
"Consumer tax class including tax","Categoria fiscale dei consumatori tasse incluse"
"Select the consumer tax class which is used in the tax rule where you have assigned your full tax rates to.","Selezionare la classe d'imposta di consumo che viene utilizzato nella regola imposta in cui è stata assegnata i tassi fiscali completi per."
"Businesses tax class including tax","Le aziende categoria fiscale tasse incluse"
"Select the business consumer tax class which is used in the tax rule where you have assigned your full tax rates to.","Selezionare la classe tassa professionale di consumo che viene utilizzato nella regola imposta in cui è stata assegnata i tassi fiscali completi per."
"Group assignment settings","Impostazioni di assegnazione di gruppo"
"Customer group for business customers inside EU with valid VAT-ID","Gruppo di clienti per i clienti commerciali all'interno dell'UE con l'IVA valida-ID"
"Customer group for business customers (with valid VAT-ID) from own country","Gruppo di clienti per i clienti commerciali (con l'IVA valida-ID) dal proprio paese"
"Customer Group for customers outside EU","Gruppi clienti per i clienti al di fuori dell'UE"

"Additional 0% VAT Groups","Ulteriori 0% Gruppi IVA"
"In case you have more than one 0% VAT group, select them here.","Nel caso in cui si dispone di più di un 0% di IVA di gruppo, selezionarli qui."

"Excluded Groups","Gruppi esclusi"

"Validate VAT-ID","Convalida IVA-ID"
"Validate VAT Number","Convalida Partita IVA"
"The VAT-ID is valid.","L'IVA-ID è valido."
"The VAT-ID is invalid.","L'IVA-ID non è valido."
"The VAT-ID is invalid, please check the syntax.","L'IVA-ID non è valido, si prega di controllare la sintassi."
"Currently the European VIES service is unavailable.","Attualmente il servizio europeo VIES non è disponibile."
"Currently the member state service is unavailable.","Attualmente il servizio Stato membro non è disponibile."
"There was an error processing your request.","Si è verificato un errore durante l'elaborazione della richiesta."
"Please enter your VAT-ID including the ISO-3166 two letter country code.","Inserisci il tuo IVA-ID tra cui la ISO-3166 codice a due lettere."

"The customer is currently assigned to Customer Group %s.","Il cliente è attualmente assegnato al Gruppo cliente %s."
"Would you like to change the Customer Group for this order?","Volete cambiare il gruppo di clienti per questo ordine?"
"The VAT ID is valid. The current Customer Group will be used.","Il numero di partita IVA è valido. Verrà utilizzato il corrente Gruppi clienti."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Sulla base del numero di partita IVA, il cliente potrebbe appartenere al gruppo di clienti %s."
"VAT number","Partita IVA"
"VAT Number","Partita IVA"
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Il numero di partita IVA è entrato (%s) non è una partita IVA valida. Il cliente dovrebbe appartenere al gruppo dei clienti %s."
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Si è verificato un errore durante la convalida della partita IVA. Il cliente dovrebbe appartenere al gruppo dei clienti %s."
"There was an error validating the VAT ID.","Si è verificato un errore durante la convalida della partita IVA."
"Please declare a VAT number before validating.","Si prega di dichiarare un numero di partita IVA prima di convalidare."

"VAT validation was cancelled.","Convalida IVA è stato annullato."
"You can find your license keys <![CDATA[<a href="https://www.geissweb.de/customer/account/" target="_blank">here</a>]]>.","È possibile trovare le chiavi di licenza <![CDATA[<a href="https://www.geissweb.de/customer/account/" target="_blank">qui</a>]]>."
"Logs all module relevant information to /var/log/euvatenhanced.log - Note: This could produce a large log file in a short time.","Registra tutte le informazioni relative al modulo /var/log/euvatenhanced.log - Nota: Questo potrebbe produrre un grande file di log in un breve periodo di tempo."
"Enables VAT validaton and calculation and customer group assignment based on validation results","Consente la convalida IVA e calcolo e Gruppo di clienti assegnazione sulla base dei risultati di convalida"
"Own VAT-ID *","Propria IVA-ID *"
"Customer tax class including tax","Categoria fiscale del cliente tasse incluse"
"Customer tax class tax exempt","Categoria fiscale clienti esenti"
"Select the customer tax class which is used in the tax rule where you have assigned your full tax rates to.","Selezionare la categoria fiscale cliente che viene utilizzato nella regola imposta in cui è stata assegnata i tassi fiscali completi per."
"Select the customer tax class which is used in the tax rule where you have assigned your 0% tax rates to.","Selezionare la categoria fiscale cliente che viene utilizzato nella regola imposta in cui è stato assegnato il tuo aliquote fiscali 0% a."
"The extension will assign customers based on VAT validation result data of the billing address.","L'estensione assegnerà clienti sulla base di dati dei risultati di convalida IVA della fatturazione."
"If you use a OSC extension, please select it here. Totals will then reload after a VAT number was validated.","Se si utilizza una estensione OSC, selezionate qui. I totali saranno quindi ricaricare dopo un numero di partita IVA è stato convalidato."
"Set the desired customer group of EU business customers with valid VAT-ID.","Impostare il gruppo di clienti desiderato di clienti commerciali dell'UE con validità IVA-ID."
"Set the desired B2B customer group of customers from your own country.","Impostare il gruppo di clienti B2B desiderata dei clienti dal proprio paese."
"Set the desired customer group of foreign customers outside the EU.","Impostare il gruppo di clienti desiderato di clienti stranieri al di fuori dell'UE."
"The selected groups will be excluded from the automatic group assignment after each VAT number validation. Use this for special discount groups for EU business customers or to lock customers in these groups.","I gruppi selezionati saranno esclusi dalla assegnazione gruppo automatico dopo ogni convalida del numero di partita IVA. Utilizzare questo per i gruppi di sconto speciali per i clienti business europei o per bloccare i clienti in questi gruppi."
"Send validation Email","Invia convalida Email"
"Whether to send an email with details after successful VAT-ID validation (Frontend or Backend)","Sia per inviare una e-mail con i dettagli dopo la convalida di successo IVA-ID"
"Customer Group for invalid VAT numbers","Gruppi clienti per i numeri di IVA non validi"
"Set the desired group for customers who used an invalid VAT number (validated through the interface).","Impostare il gruppo desiderato per i clienti che hanno utilizzato un numero di partita IVA valido (validazione attraverso l'interfaccia)"
"Customer group for customers with technical validation errors","Gruppo di clienti per i clienti con errori tecnici di validazione"
"Customers will be assigned to this group, if the interface did not respond due to maintenance or connection errors.","I clienti verranno assegnati a questo gruppo, se l'interfaccia non ha risposto a causa di errori di manutenzione o di connessione."

"VAT Trader Name","Nome IVA Trader"
"VAT Trader Address","IVA Trader Indirizzo"
"VAT Number is valid","Partita IVA è valido"
"VAT Request success","IVA Richiesta successo"

"Disable Cross-Border price consistency for EU customers with valid VAT number","Disabilitare Cross-Border consistenza prezzo per i clienti UE con partita IVA valida"
"Disable Cross-Border price consistency for customers outside europe","Disabilitare Cross-Border consistenza prezzo per i clienti al di fuori dell'Europa"
"Order totals will be net (without VAT) instead gross for these customers. Works only when CBT is enabled (from Magento 1.9).","Ordinare i totali saranno netti (senza IVA) invece lordo per questi clienti. Funziona solo quando CBT è attivato (da Magento 1.9)."

"Excluded groups for VAT calculation","gruppi esclusi per il calcolo dell'IVA"
"The selected groups will be excluded from the VAT calculation of our module. It will allow these groups to use the regular Magento tax calculation to apply own exclusive tax rates.","I gruppi selezionati verranno escluse dal calcolo dell'IVA del nostro modulo. Esso permetterà a questi gruppi di utilizzare il calcolo delle imposte Magento regolare di applicare proprie aliquote fiscali esclusivi."

"Force default customer group when VAT was applied","Gruppo di clienti Forza predefinito quando è stata applicata l'IVA"
"This can be useful if your external accounting software is using the customer group to determine if VAT is applied instead of taking the actual totals of the order.","Questo può essere utile se il software di contabilità esterna sta usando il gruppo di clienti per determinare se viene applicata l'IVA invece di prendere i totali attuale dell'Ordine."

"EU VAT Enhanced has been installed.","IVA UE avanzato è stato installato."
"Please run the <a href="%s">Setup</a> to set up VAT for your country.","Si prega di eseguire il <a href="%s">Setup</a> per impostare l'IVA per il proprio paese."
"Taxes and VAT are already set up. Skip this step.","Tasse e IVA sono già impostati. Saltare questo passaggio."
"Automated Setup has been skipped. Please apply your settings now.","Installazione automatica è stato ignorato. Si prega di applicare le impostazioni ora."
"EU VAT Enhanced Setup completed successfully. Please now apply your settings.","IVA UE Setup avanzato completato con successo. Si prega ora applicare le impostazioni."
"Consumers buy products with standard VAT","I consumatori acquistano i prodotti con IVA normale"
"Consumers buy products with reduced VAT","I consumatori acquistano prodotti con l'IVA ridotta"
"Consumers buy digital products and services","I consumatori acquistano prodotti e servizi digitali"
"Domestic businesses buy digital products and services","le imprese nazionali acquistano prodotti e servizi digitali"
"Not taxable products","Prodotti non tassabili"
"EU Businesses buy VAT exempt","Imprese dell'UE acquistare IVA esente"
"Settings","Impostazioni"
"Please use the same license key for your production system and your testing/development systems.","Si prega di utilizzare la stessa chiave di licenza per il vostro sistema di test / sviluppo del sistema di produzione e."
"Get your key here.","Ottenere la chiave qui."
"Your license key","La chiave di licenza"
"Your VAT number","Il tuo numero di partita IVA"
"Your Country","Il tuo paese"
"Provide your full number including country prefix, without whitespaces, dots or slahes. Example: DE267070673","Fornire il proprio numero completo, compreso il prefisso, senza spazi bianchi, punti o barre. Esempio: IT999999999"
"VAT Configuration Setup","Configurazione Configurazione IVA"
"Automatically apply default VAT configuration store settings for EU countries","Applicare automaticamente le impostazioni di archivio di configurazione di IVA di default per i paesi UE"
"This will overwrite some of your store configuration values.","Questo sovrascriverà alcuni dei vostri valori di configurazione negozio."
"Read more","Leggi di più"
"Tax Rules Setup","Impostazione norme fiscali"
"Automatically create tax classes, tax rates and tax rules (old ones will be deleted).","Creazione automatica di classi fiscali, le aliquote fiscali e le norme fiscali (quelli vecchi verranno cancellati)."
"This will replace all tax classes, rates and rules.","Questo sostituirà tutti fiscali classi, le tariffe e le regole."
"Also add rates and rule for digital products and services (for telecommunications, broadcasting & electronic services)","Anche aggiungere i tassi e la regola per i prodotti e servizi digitali (per le telecomunicazioni, la radiodiffusione e servizi elettronici)"
"Also add rates and rule for not taxable products.","Anche aggiungere i tassi e la regola per i prodotti non passivi."
"Also add rates and rule for products with reduced VAT","Anche aggiungere i tassi e la regola per i prodotti con l'IVA ridotta"
"Reduced rate","Rata ridotta"
"Please specify the reduced rate.","Si prega di specificare l'aliquota ridotta."
"The product attribute <i>tax_class_id</i> of your existing products will be updated with the new value.","L'attributo prodotto <i>tax_class_id</i> dei vostri prodotti esistenti verrà aggiornato con il nuovo valore."
"The customer group attribute <i>tax_class_id</i> of your existing customer groups will be updated with the new value.","L'attributo Gruppo di clienti <i>tax_class_id</i> dei tuoi gruppi di clienti esistenti verrà aggiornato con il nuovo valore."
"Tax class mapping","Mappatura categoria fiscale"
"Products with standard VAT rate","Prodotti con aliquota IVA normale"
"Products with reduced VAT rate","Prodotti con ridotta aliquota IVA"
"Shipping with standard VAT rate","Spedizione con aliquota IVA normale"
"Shipping with reduced VAT rate","Spedizione con un'aliquota IVA ridotta"
"Digital products and services","Prodotti e servizi digitali"
"Non-Taxable Products","Prodotti non imponibili"
"Consumers incl. VAT","Consumatori incl. I.V.A."
"Businesses incl. VAT","Aziende incl. I.V.A."
"Businesses excl. VAT","Aziende escl. I.V.A."
" standard VAT"," IVA normale"
" reduced VAT"," IVA ridotta"
" digital VAT"," IVA digitale"
" VAT exempt"," IVA esente"
"Run setup again","Eseguire nuovamente l'installazione"
"Documentation","Documentazione"
"Knowledge Base","Base di conoscenza"

"Yes","Sì"
"No","No"
"Valid","Valido"
"Invalid","Non valido"
"VAT Request Identifier","IVA Richiesta Identifier"
"VAT Request Date","IVA richiesta Data"

"Your VAT Number is invalid. Please provide a valid VAT Number to place your order.","Il tuo numero di partita IVA non è valido. Si prega di fornire un numero di partita IVA valido per effettuare l'ordine."
"Require valid VAT number to checkout","Richiede numero di partita IVA valido al check-out"
"Customers can only checkout with a valid VAT number if this option is enabled.","I clienti possono controllare solo con un numero di partita IVA valida se questa opzione è abilitata."

"Set the customer group of the customer account according the checkout situation","Impostare il gruppo di clienti del conto cliente in base alla situazione cassa"
"If enabled, customer account group will be set to the checkout situation instead of the default billing address.","Se abilitata, gruppo di account cliente sarà impostato sulla situazione cassa anziché l'indirizzo predefinito di fatturazione."

"Set the customer group on orders according the checkout situation","Impostare il gruppo di clienti sugli ordini in base alla situazione cassa"
"If enabled, customer group on orders will be set to the checkout situation. If disabled, customer group on orders will be the same as the customer account. Note that guest customers do not have a customer group.","Se abilitata, Gruppo di clienti ordini sarà impostato alla situazione di cassa. Dei disabili, Gruppo di clienti su ordine sarà lo stesso del conto cliente. Si noti che i clienti ospiti non hanno un gruppo di clienti."

"Takeover used VAT number at checkout to customers account","Takeover usato partita IVA al momento del check out per conto di clienti"
"Will take the VAT number from the checkout address and saves it as customer account VAT number (field taxvat).","Prenderà il numero di partita IVA dall'indirizzo cassa e lo salva come conto cliente numero di partita IVA (IVA campo)."

"Validate VAT number on each customer login","Convalida numero di partita IVA per ogni login cliente"
"Validation period on customer login","Periodo di convalida al login del cliente"
"On every login","Su ogni login"
"Every month","Ogni mese"
"Every 3 months","Ogni 3 mesi"
"Every 6 months","Ogni 6 mesi"
"Every year","Ogni anno"