"General Settings","Algemene Instellingen"
"Extension version","Extensie versie"
"Module enabled","Module geactiveerd"
"Select Yes to enable the module.","Selecteer Ja om te module te activeren."
"Show advanced settings","Geavanceerde instellingen weergeven"
"Select Yes to show advanced settings","Selecteer Ja om de geavanceerde instellingen weer te geven"
"Yes", "Ja"
"No", "Nee"
"Success URL","Succes URL"
"The page a customer is redirected to when an order is accepted. Leave blank for default magento.","De pagina waar een klant naar doorgestuurd wordt nadat de bestelling geaccepteerd is. Laat leeg om gebruik te maken van de standaard Magento URL."
"Validation URL", "URL verwijzen na validatiefout"
"The page a customer is redirected to when an order is denied by validation error. Leave blank for default magento.", "Vul hier de pagina in waarnaar de consument moet worden verwezen nadat een validatiefout is opgetreden. Laat het leeg om de standaard van Magento te gebruiken"
"Failure URL","Weigerings URL"
"The page a customer is redirected to when an order is denied. Leave blank for default magento.","De pagina waar een klant naar doorgestuurd wordt nadat de bestelling geweigerd is door AfterPay. Laat leeg om gebruik te maken van de standaard Magento URL."
"Auto-Invoice","Automatische facturatie"
"Select Yes to automatically invoice orders in Magento when they are accepted by AfterPay","Activeer deze optie om facturen automatisch in Magento aan te maken zodra de order door AfterPay is geaccepteerd."
"Yes, direct", "Ja, direct"
"Yes, at selected status", "Ja, op geselecteerde status"
"Yes, at shipping", "Ja, bij verzending"
"Auto invoice status", "Automatische facturatie bij status"
"Select status on which the invoice must be created", "Selecteer de status waarop de factuur moet worden aangemaakt"
"Send Invoice Mail", "Verstuur factuur email"
"Select Yes to send Magento Invoice mail", "Selecteer Ja om de Magento Factuur te versturen"
"Separate Discount", "Korting als orderregel doorgeven"
"Select Yes to sent the discount as separate order line to AfterPay", "Selecteer Ja om de korting als orderregel door te geven, bij Nee wordt de korting op de orderregels van de producten verrekend."
"Debug","Debug"
"Select if you want extra information to debug.","Selecteer of u extra informatie verlangt om te debuggen."
"Debug E-mail","Debug E-mail"
"For multiple emails separate them using a comma.","Voor meer dan één e-mail adres kunt u deze scheiden met een komma."
"Tax Settings","Belasting instellingen"
"High VAT tax classes","Hoge BTW BTW groepen."
"Select which tax classes count as 'high' VAT","Selecteer welke BTW groepen tellen als hoge BTW."
"Low VAT tax classes","Lage BTW BTW groepen."
"Select which tax classes count as 'low' VAT","Selecteer welke BTW groepen tellen als lage BTW."
"Zero VAT tax classes","Nul BTW BTW groepen."
"Select which tax classes count as 'zero' VAT","Selecteer welke BTW groepen tellen als nul BTW."
"No VAT tax classes","Geen BTW BTW groepen."
"Select which tax classes count as 'no' VAT","Selecteer welke BTW groepen tellen als geen BTW."
"Tax class for Discount","BTW groep voor korting."
"Select which tax class should be used for the Discount","Selecteer welke BTW groep gebruikt dient te worden voor de berekening van de korting."
"AfterPay NL Digital Invoice","AfterPay NL Digitale Factuur"
"AfterPay BE Digital Invoice","AfterPay BE Digitale Factuur"
"AfterPay NL B2B Digital Invoice","AfterPay NL B2B Digitale Factuur"
"AfterPay NL Direct Debit","AfterPay NL Direct Debit"
"AfterPay DE Digital Invoice","AfterPay DE Digitale Factuur"
"Extra optional portfolio","Extra optionele portefeuille"
"Portfolio enabled","Portefeuille geactiveerd"
"Select Yes to enable the portfolio.","Selecteer Ja om deze portefeuille te activeren."
"Your current IP Adresses","Uw huidige IP adres"
"Show payment method only for certain IP adresses","Betaalmethode tonen op basis van IP adres"
"Hide payment method only for certain IP adresses","Betaalmethode verbergen op basis van IP adres"
"IP Adresses","IP Adressen"
"Use comma to seperate IP adresses","Gebruik een comma om IP adressen te scheiden"
"Mode","Modus"
"When the base configuration is still in test mode. Live mode of the portfolio is overruled.","Wanneer de algemene instellingen op test modus staan zal de portefeuille ook in test modus zijn."
"Select Live to preform live transactions.","Selecteer Live om live transacties te voldoen."
"Live merchantID","Live merchantID"
"Your user account is provided by AfterPay.","Uw gebruikersaccount wordt aangeleverd door AfterPay."
"To get an account contact AfterPay.","Neem contact op met AfterPay om uw gebruikersaccount te ontvangen."
"Test merchantID","Test merchantID"
"Portfolio ID","Portefeuille ID"
"Afterpay will deliver a portfolio ID","Het portefeuille ID wordt door AfterPay aangeleverd."
"Live Password","Live wachtwoord"
"Test Password","Test wachtwoord"
"Your Password is provided by AfterPay.","Uw wachtwoord wordt aangeleverd door AfterPay."
"Portfolio country", "Portefeuille land"
"Select the country of transaction contract", "Selecteer het land waarvoor de transactie moet plaatsvinden"
"Netherlands", "Nederland"
"Belgium", "Belgie"
"Germany", "Duitsland"
"Austria", "Oostenrijk"
"Switzerland", "Zwitserland"
"Sweden", "Zweden"
"Finland", "Finland"
"Norway", "Noorwegen"
"Denmark", "Denemarken"
"Portfolio type","Portefeuille type"
"Select the type of transaction contract","Selecteer het type transactie overeenkomst."
"Show bankaccount input field", "Bankrekeningnummer veld weergeven"
"Select Yes to show the bankaccount input field.", "Selecteer Ja om het veld bankrekeningnummer weer te geven."
"Show gender input field", "Geslacht weergeven"
"Select Yes to show the gender input field.", "Selecteer Ja om het geslacht veld weer te geven bij de AfterPay betaalmethode. Bij Nee wordt er gekeken naar het standaard geslacht veld van Magento. Let op: Geslacht is een verplichte waarde voor AfterPay."
"Show phone number input field", "Telefoonnummer weergeven"
"Select Yes to show the phone number input field.", "Selecteer Ja om het telefoonnummer veld weer te geven bij de AfterPay betaalmethode. Bij Nee wordt er gekeken naar het standaard telefoonnummer veld van Magento. Let op: Telefoonnummer is een verplichte waarde voor AfterPay."
"Show date of birth input field", "Geboortedatum weergeven"
"Select Yes to show the date of birth input field.", "Selecteer Ja om het geboortedatum veld weer te geven bij de AfterPay betaalmethode. Bij Nee wordt er gekeken naar het standaard geboortedatum veld van Magento. Let op: Geboortedatum is een verplichte waarde voor AfterPay."
"Show terms and conditions checkbox", "Algemene voorwaarden veld weergeven"
"Select Yes to show the terms and conditions checkbox.", "Selecteer Ja om het algemene voorwaarden veld weer te geven bij de AfterPay betaalmethode. Let op: Consumenten moeten akkoord gaan met de algemene voorwaarden van AfterPay. Dit kan ook door de voorwaarden met een link op te nemen in uw eigen algemene voorwaarden."
"Portfolio area","Portefeuille gebied"
"Select where the portfolio will be available","Selecteer of de portefeuille beschikbaar is in de frontend of de backend van de shop of beide."
"Portfolio label","Portefeuille titel"
"The label shown on the frontend","Deze titel zal bij de portefeuille getoond worden."
"Portfolio footnote","Portefeuille kanttekening"
"Shown after label","Wordt achter de titel getoond."
"Portfolio extended information","Portefeuille uitgebreide betalingsinformatie"
"Extended information about the AfterPay Payment Method which for example will be included in transactional emails.","Uitgebreide betalingsinformatie van de AfterPay Module welke onder andere wordt getoond in transactionele emails."
"Minimal Amount","Minimum bedrag"
"No value will allow all","Leeg laten om alle bedragen toe te staan."
"Maximum Amount","Maximum bedrag"
"Maximum Amount for New AfterPay Customers","Maximum bedrag voor nieuwe klanten van AfterPay"
"N.B. This value does not influence whether or not this portfolio is available. This is only used as a label!","N.B. Deze waarde wordt enkel gebruikt om klanten in te lichten. De portefeuille zal nog steeds beschikbaar zijn als dit bedrag overschreden wordt."
"Status Accepted No Invoice", "Status geaccepteerde order, maar nog geen factuur"
"New is the default state for a new order without invoice.", "Nieuw is de standaard status voor een order zonder factuur"
"For administrative purposes a new status can be created connected to new.","Voor administratieve doeleinden is het mogelijk om een nieuwe status aan te maken gekoppeld aan de state 'new'"
"Status Pending","Status wachtende"
"Pending is the default state for a new order.","Wachtende is de standaard status voor nieuwe bestellingen."
"Status Accepted","Status geaccepteerd"
"Processing is the default state for an order with an invoice or a shipment.","Bezig met verwerken is de standaard status voor een bestelling met een factuur of verzending."
"For administrative purposes a new status can be created connected to processing.","Voor administratieve doeleinden is het mogelijk om een nieuwe status aan te maken gekoppeld aan de state 'processing'"
"Status Refused","Status geweigerd"
"Canceled is the default state for an unprocessed order terminated.","Geannuleerd is de standaard status voor geweigerde bestellingen die geannuleerd zijn."
"Allowed Countries", "Toegestane Landen"
"Payment from Specific Country", "Betaling van specifieke landen"
"Only available if 'Payment from applicable countries' is set to 'specific countries'.", "Alleen beschikbaar als 'Betaling van specifieke landen' staat op 'Specifieke Landen'"
"Allowed Client groups","Toegestane klantgroepen"
"Select whether all customers may make use of this payment option, or only customers from specific customer groups.","Selecteer of all klanten gebruik kunnen maken van deze portefeuille of enkel klanten die behoren tot een specifieke klantengroep."
"Specific client groups","Specifieke klantengroepen"
"Define which client groups are allowed to make use of this portfolio.","Selecteer welke klantengroepen gebruik kunnen maken van deze portefeuille."
"Only available if 'Allowed Client groups' is set to 'specific client groups'.","Enkel beschikbaar als 'Toegestane klantgroepen' op 'specifieke klantengroepen' staat."
"All allowed client groups","alle klantgroepen toestaan"
"Not allowed by shipping methods", "AfterPay niet toestaan bij geselecteerde verzendmethode(n)"
"Select all the shipping methods where the AfterPay module should NOT be allowed for.", "Selecteer alle verzendmethoden waarbij de AfterPay module NIET is toegestaan."
"Use CTRL + mouseclick to select multiple entries.","Gebruik CTRL + muisklik om meerdere verzendmethoden te selecteren."
"Sort order","Sorteer volgorde"
"This value will determine in what order the portfolio's will appear to the customer","Deze waarde bepaalt in welke volgorde portefeuilles aan de klant gepresenteerd worden."
"I have read and accepted the AfterPay %sTerms and Conditions%s.","Ik ga akkoord met de %sbetalingsvoorwaarden%s van AfterPay"
"Capture Settings","Capture Instellingen"
"Capture Mode","Capture modus"
"Disabled", "Uitgeschakeld"
"Automatic", "Automatisch"
"Manual", "Handmatig"
"Select whether AfterPay will automatically attempt to capture the order or if the module should manually attempt to capture the order.","Selecteer of AfterPay automatisch de bestelling 'capturet' of dat de module dit handmatig dient te doen."
"Status Capture Request Accepted","Status capture geaccepteerd"
"Status Capture Request Refused","Status capture geweigerd"
"Refund Settings","Terugbetaling Instellingen"
"Enable refunding","Activeer terugbetalingen"
"If you set this to 'No', you will only ber able to perform offline refunds on AfterPay transactions","Indien deze optie op Nee staat, is het enkel mogelijk om offline terugbetalingen te verrichten."
"Gender:","Geslacht:"
"Please select.","Selecteer s.v.p."
"Male","Man"
"Female","Vrouw"
"Date of Birth","Geboortedatum"
"YYYY","JJJJ"
"Bank account number:","Bankrekening nummer:"
"Company name:","Bedrijfsnaam:"
"Coc number:","KvK nummer (NL) of BTW nummer (BE):"
"E-mail:","E-mail:"
"Phone number", "Telefoonnummer"
"Unable to capture this invoice","Niet mogelijk om deze factuur te capturen"
"Can only capture full invoices. Partial invoices cannot be captured by AfterPay.","Het is enkel mogelijk om een capture verzoek in te dienen voor volledige facturen."
"Tax classes may not be selected for more than 1 VAT group","Belasting groepen mogen aan slechts 1 BTW groep toegekend worden."
"You cannot refund a larger amount than is available. Maximum Payment Fee available for refund: ","Het is niet mogelijk om een groter bedrag terug te betalen dan beschikbaar is. Maximale servicekosten bedrag beschikbaar: "
"An error occurred while processing your refund request: ","Er is een fout opgetreden tijdens de verwerking van deze bestelling: "
"An error occurred while processing your refund request.","Er is een fout opgetreden tijdens de verwerking van deze bestelling."
"Refund action is not available.","Terugbetalen is niet mogelijk."
"An error occurred while processing your refund request: ","Er is een fout opgetreden tijdens de verwerking van de terugbetaling: "
"An error occurred while processing your refund request.","Er is een fout opgetreden tijdens de verwerking van de terugbetaling."
"Did not recognize tax class for class ID: ","De BTW groep voor deze belastinggroep werd niet herkend: "
"This order has already been captured by AfterPay.","Deze bestelling is al gecapturet door AfterPay."
"Online refunding is disabled. Please us offline refunding or enable online refunding in the config.","Online terugbetalen is gedeactiveerd. Probeer een offline terugbetaling of activeer online terugbetalen in de configuratie."
"This order has not yet been captured by AfterPay.","Deze betselling is nog niet gecapturet door AfterPay."
"No response was available","Geen antwoord ontvangen van AfterPay"
"Your order has been placed succesfully.","Uw bestelling is succesvol ontvangen"
"Your order was unsuccesful. Please try again or choose another payment method.","Uw bestelling was onsuccesvol. Probeer het s.v.p. opnieuw of kies een andere betaalmethode."
"This order is awaiting final approval. You will receive an update regarding the status of this order shortly. If you do not receive an update about the status of this order, please contact the webshop's owner.","Deze bestelling wacht op goedkeuring. U ontvangt binnenkort een update met betrekking tot deze bestelling. Indien u geen bericht ontvangt, neem dan s.v.p. contact op met de webshop eigenaar."
"This order has been rejected. You can attempt to process the order using a risk portfolio by using the re-order button","Deze bestelling is afgekeurd. U kunt de bestelling opneiwu proberen door op de 'reorder' knop te klikken."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Er is een technische fout opgetreden. Als deze fout zich blijft voordoen, neem dan s.v.p. contact op met de webshop."
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","Uw bestelling is geplaatst. U zult binnenkort verder bericht krijgen over hoe u de betaling kunt voldoen."
"One or more fields you have entered appear to be incorrect. Please check all values entered and try again.","Eén of meerdere velden die u heeft ingevuld, zijn incorrect. Controleer s.v.p. uw gegevens en probeer het nog eens."
"A technical error has occurred. Please contact the shop owner.","Er is een technische fout opgetreden. Neem s.v.p. contact op met de webwinkeleigenaar."
"This order has been accepted by AfterPay.","Deze bestelling is geaccepteerd door AfterPay."
"This order has been captured by AfterPay","Het capture verzoek is door AfterPay geaccepteerd."
"AfterPay is currently unable to capture this invoice.","Het is momenteel niet mogelijk om deze factuur te capturen"
"AfterPay capture attempt has failed","Het capture verzoek is door AfterPay geweigerd."
"AfterPay capture attempt has failed","Het capture verzoek is gefaald."
"Could not verify the authenticity of the capture response.","De authenticiteit van het antwoord op het capture verzoek kon niet bevestigd worden."
"this invoice was captured by AfterPay.","Het capture verzoek is door AfterPay geaccepteerd."
"AfterPay is currently unable to capture this invoice.","Het is momenteel niet mogelijk om deze factuur te capturen."
"Unable to capture this invoice, due to one or more values being incorrect.","Het capture verzoek is afgewezen, omdat één of meerdere velden incorrect zijn."
"A technical error occurred whilst trying to capture this invoice","Er is een technische fout opgetreden tijdens het verwerken van het capture verzoek."
"This order has been refunded by AfterPay","Deze bestelling is terugbetaald door AfterPay."
"Unable to accept refund.","Niet mogelijk om de bestelling terug te betalen."
"AfterPay refund attempt has failed","AfterPay terugbetalingsverzoek is gefaald."
"Could not verify the authenticity of the refund response.","Kon de authenticiteit van het antwoord op het terugbetalingsverzoek van AfterPay niet bevestigen."
"Please enter a housenumber.","Vul s.v.p. een huisnummer in."
"The date of birth is missing invalid. Please check your date or birth or contact our customer service.","De geboortedatum mist of is ongeldig. Controleer uw geboortedatum of neem contact op met onze klantenservice"
"Refund to store credits or reward points is not possible, using AfterPay online refund. First do an offline refund for the desired amount to credit / award points. Then do an online AfterPay refund for the remaining amount, if applicable.","Een creditering naar winkeltegoed of spaarpunten is niet mogelijk i.c.m. een AfterPay (online) terugbetaling. Doe eerst een handmatige (offline) terugbetaling voor het bedrag dat u wilt terugboeken naar winkeltegoed / spaarpunten. Indien nodig, doe daarna een (online) terugboeking voor het resterende bedrag."
"Correction","Correctie"
"Shippingcost","Verzendkosten"
"Service fee","Servicekosten"
"Giftwrapping","Cadeauverpakking"
"Giftwrapping printed card", "Cadeauverpakking"
"Giftcard","Cadeaukaart"
"Storecredits","Winkelkrediet"
"Discount","Korting"
"Refund","Terugbetaling"
"Reward points","Spaarpunten"
"NL - Digital Invoice","Nederland - Digitale factuur"
"NL - Direct Debit","Nederland - Eenmalige machtiging"
"NL - Digital Invoice for B2B","Nederland - Digitale factuur voor bedrijven"
"BE - Digital Invoice","België - Digitale factuur"
"DE - Digital Invoice","Duitsland - Digitale factuur"
"DE - Direct Debit","Duitsland - Eenmalige machtiging"
"DE - Installments","Duitsland - Gespreid betalen"
"AT - Digital Invoice","Oostenrijk - Digitale factuur"
"AT - Direct Debit","Oostenrijk - Eenmalige machtiging"
"AT - Installments","Oostenrijk - Gespreid betalen"
"CH - Digital Invoice","Zwitserland - Digitale factuur"
"SE - Digital Invoice","Zweden - Digitale factuur"
"SE - Installments","Zweden - Gespreid betalen"
"FI - Digital Invoice","Finland - Digitale factuur"
"FI - Installments","Finland - Gespreid betalen"
"NO - Digital Invoice","Noorwegen - Digitale factuur"
"NO - Installments","Noorwegen - Gespreid betalen"
"DK - Digital Invoice","Denemarken - Digitale factuur"
"DK - Installments","Denemarken - Gespreid betalen"
"Frontend","Frontend"
"Backend","Backend"
"Both","Beide"
"<strong>Do you want to offer this or other AfterPay payment methods to your customers? Contact your AfterPay account manager.</strong><br/><br/>","<strong>Wilt u deze of andere AfterPay betaalmethodes aanbieden aan uw klanten? Neem dan contact op met uw AfterPay account manager.</strong><br/><br/>"
