"Standard","Standaard"
"Minimal","Minimaal"
"Optional","Optioneel"
"Required","Vereist"
"Hidden","Verborgen"
The fire checkout is disabled.,Firecheckout is uitgeschakeld.
Fire Checkout Section,Firecheckout sectie
Fire Checkout,Firecheckout
"Default Shipping Method","Standaard verzendmethode"
"Default Payment Method","Standaard betaalmethode"
"Show Shipping Address Form","Toon bezorgadres formulier"
"Show Subscribe to Newsletter Checkbox","Toon Schrijf in op nieuwsbrief checkbox"
"Address Form Fields","Adresformulier velden"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Voordat u enige velden gaat aanpassen, wees er zeker van dat deze niet vereist zijn door uw aanbieder van betalingen/verzenden"
"Output Type","Output type"
"Create account for later use","Maak een account aan voor later gebruik"
"Checkout Review","Controleer bestelling"
"Already registered? Login into your account","Bent u al geregistreerd? Log dan in op uw account"
"Show Comment Field","Toon veld voor opmerkingen"
"Guest checkout is allowed","Gastbetaling is toegestaan"
"Registration is required","Registratie is vereist"
User is registered during checkout without prompting a password,Gebruiker wordt geregistreerd tijdens betaling zonder een wachtwoord te gebruiken
"Registration mode","Registratie modus"
"Show Discount Coupon Field","Toon Kortingsbon veld"
Firecheckout on Mobile Devices,Firecheckout op mobiele apparaten
Redirect to firecheckout after adding an item to the shopping cart,Ga naar firecheckout na het toevoegen van een artikel aan de winkelwagen
"Register customer during Paypal Express checkout if prompted","Registreer klant tijdens Paypal express betaling"
"Ship to the same address","Verzend naar hetzelfde adres"
"Validate taxvat number","Valideer BTW nummer"
"Use online VIES validation","Gebruik online VIES validatie"
"Show Giftcard Field","Toon Cadeaukaart Veld"
"Works with Magento Enterprise/Pro Versions Only","Werkt Alleen met Magento Enterprise/Pro Versies"
"Address Form Fields Sort Order","Adresformulier Veld Volgorde"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Om de velden in een rij te plaatsen, zet ze in oplopende volgorde: 1,2 of 12,13 of 20,21</br>Om velden in verschillende rijen te plaatsen, verbreek de orde: 1,3 of 12,18 of 20,30"
"Invalid VAT number","Ongeldig BTW nummer"
"The VAT validation service unavailable. Please re-submit your request later.","De BTW validatie dienst niet beschikbaar. Bevestig uw aanvraag a.u.b. later."
"The provided CountryCode is invalid or the VAT number is empty","De geleverde LandenCode is ongeldig of het BTW nummer is leeg"
"The VAT validation service cannot process your request. Try again later.","De BTW validatie dienst kan op verzoek niet uitvoeren. Probeer het later opnieuw."
"Unknown VAT validation service message. Try again later.","Onbekende BTW validatie dienst bericht. Probeer het later opnieuw."
"The provided CountryCode is invalid for the VAT number","De geleverde LandenCode is ongeldig voor het BTW nummer"
"Delivery Date and Time","Leveringsdatum en -Tijd"
"Delivery Date","Leverdatum"
"Delivery Time","Levertijd"
"Display Mode","Toon modus"
"Use Calendar","Gebruik kalender"
"Dates to Exclude","Uitgesloten datums"
"Use Time Range","Gebruik tijdspanne"
"Time Ranges","Tijdspannen"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Wij kunnen het pakker niet op de geselecteerde datum leveren. Selecteer a.u.b. een andere datum voor de levering"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Wij kunnen het pakket niet op de geselecteerde datum leveren. Selecteer a.u.b. een andere datum voor de levering"
"Show for All Shipping Methods","Toon voor Alle Verzendmethoden"
"Show for Specific Shipping Methods","Toon voor Specifieke Verzendmethoden"
"MM/DD/YYYY","MM-DD-JJJJ"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Er is al een klant geregistreerd die dit e-mailadres gebruikt. Log a.u.b. in met die e-mailadres of plaats de order toch als gast zonder in te loggen."
"You are browsing our store as %s %s","You are browsing our store as %s %s"
"Please %s or %s a new account to place order.","Please %s or %s a new account to place order."
"Allow to edit shopping cart contents","Allow to edit shopping cart contents"
"Show product image","Show product image"
"We recommend to use 2columns layout when using this option. See the General options section.","We recommend to use 2columns layout when using this option. See the General options section."
"This email is already in use","This email is already in use"
"Please %slogin%s using this email address or %senter a different email address%s to register your account.","Please %slogin%s using this email address or %senter a different email address%s to register your account."
"3 columns","3 columns"
"2 columns","2 columns"
"Example: %s","Example: %s"
"Hide Other Shipping Methods if Free is Available","Hide Other Shipping Methods if Free is Available"
"Show product name as link","Show product name as link"
"Show product short description","Show product short description"
"Show Address Review Block","Show Address Review Block"
"Show address review block, inside checkout review section. Useful for EU countries","Show address review block, inside checkout review section. Useful for EU countries"
"Description Excerpt Length","Description Excerpt Length"
"Customer Comment","Customer Comment"
"Move","Move"
"Add newline","Add newline"
"Switch to classic mode","Switch to classic mode"
"Switch to drag&amp;drop mode","Switch to drag&amp;drop mode"
"Address verification","Address verification"
"Address could not be verified. Please double check the address before submitting the order. If the address is correct, just place the order without making any changes to it.","Address could not be verified. Please double check the address before submitting the order. If the address is correct, just place the order without making any changes to it."
"Use entered address","Use entered address"
"Edit entered address","Edit entered address"
"Use verified address","Use verified address"
"Place order using selected option","Place order using selected option"
"Usps Address Verification (United States addresses only)","Usps Address Verification (United States addresses only)"
"Guest checkout is allowed (registration checkbox is checked)","Guest checkout is allowed (registration checkbox is checked)"
"Ship to the same address is selected by default","Ship to the same address is selected by default"
"Newsletter checkbox is checked by default","Newsletter checkbox is checked by default"
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"Additional content","Additional content"
"Above form","Above form"
"Below form","Below form"
"Below checkout review table","Below checkout review table"
"See the Postal Code configuration at System > Configuration > General > Countries Options","See the Postal Code configuration at System > Configuration > General > Countries Options"
"See the Region configuration at System > Configuration > General > States Options","See the Region configuration at System > Configuration > General > States Options"
"USPS user id is not correct. See the configuration at System > Configuration > Shipping Methods > USPS","USPS user id is not correct. See the configuration at System > Configuration > Shipping Methods > USPS"
"Fields to validate","Fields to validate"
"Delivery processing day ends at","Delivery processing day ends at"
"This option is used to detect first available delivery day","This option is used to detect first available delivery day"
"Agree text in popup window","Agree text in popup window"
"Ajax save and reload rules","Ajax save and reload rules"
"Save rules","Save rules"
"<span style='color: #f00'>Do not overuse this options:</span> the more fields you will select - the more ajax requests will be done during form filling.","<span style='color: #f00'>Do not overuse this options:</span> the more fields you will select - the more ajax requests will be done during form filling."
"Section dependencies","Section dependencies"
"Payment methods depends on","Payment methods depends on"
"Default Values: None","Default Values: None"
"1. Add order total, if you are using min/max order total option to filter available payment methods<br/>2. Add billing address if you are using allowed countries option","1. Add order total, if you are using min/max order total option to filter available payment methods<br/>2. Add billing address if you are using allowed countries option"
"Shipping methods depends on","Shipping methods depends on"
"Default Values: Cart contents, Shipping Address","Default Values: Cart contents, Shipping Address"
"1. Add order total, if you are using min/max order total option to filter available shipping methods<br/>2. Add coupon code, if you have coupons for shipping price","1. Add order total, if you are using min/max order total option to filter available shipping methods<br/>2. Add coupon code, if you have coupons for shipping price"
"Order total (Review) depends on","Order total (Review) depends on"
"Default Values: Shipping Method","Default Values: Shipping Method"
"1. Add the shipping address if you are using tax rate or discount for some addresses<br/>2. Add payment method, if you are using discount/fee for some of the payment methods","1. Add the shipping address if you are using tax rate or discount for some addresses<br/>2. Add payment method, if you are using discount/fee for some of the payment methods"
"Custom fields","Custom fields"
"Cart contents (qty, weight)","Cart contents (qty, weight)"
"Use this field to enter shipping code, if you are not able to find it in previous selectbox.","Use this field to enter shipping code, if you are not able to find it in previous selectbox."
"Layout type","Layout type"
"Use Compact Layout","Use Compact Layout"
"Set 'Yes', to use empty layout (Without Header and Footer blocks)","Set 'Yes', to use empty layout (Without Header and Footer blocks)"
"Address Verification (USPS)","Adresverificatie (USPS)"
"Tax/Vat Validation","BTW valiatie"
"Delivery Date&amp;Time","Bezorgmoment"
"Your Email and Name","Uw gegevens"
"Back to Store","Terug naar de winkel"
"Edit Section","Edit sectie"
"Continue Checkout","Ga door met afrekenen"
"Apply giftcard and discount coupon","Apply giftcard and discount coupon"
"Check, if you have a giftcard or discount code","Heeft u een kortingscode?"
"Use per product delivery date offset","Use per product delivery date offset"
"When multiple products will have different date offset, maximum offset will be used","When multiple products will have different date offset, maximum offset will be used"
"Delivery date offset attribute","Delivery date offset attribute"
"Text and dropdown attribute types are shown only.<br/>Attribute should be saved with enabled 'Used in Product Listing' option.","Text and dropdown attribute types are shown only.<br/>Attribute should be saved with enabled 'Used in Product Listing' option."
"First available delivery date rules","First available delivery date rules"
"When placing order after this time, first available date will be shifted to the next day","When placing order after this time, first available date will be shifted to the next day"
"Delivery will be available since first available day (order date) plus this value","Delivery will be available since first available day (order date) plus this value"
"Last available delivery date rules","Last available delivery date rules"
"Period in days, while delivery will be available, since first available day","Period in days, while delivery will be available, since first available day"
"Excluded delivery dates rules","Excluded delivery dates rules"
"Exclude Weekend Days","Exclude Weekend Days"
"See `System > Configuration > General > Locale Options > Weekend Days` option","See `System > Configuration > General > Locale Options > Weekend Days` option"
"Delivery time settings","Delivery time settings"
"Use first avilable date as default value","Use first avilable date as default value"
"Agreements depends on","Agreements depends on"
"Existing customer? Type in your e-mail.","Bestaande klant? Vul uw e-mailadres in om in te loggen"
"This email address is associated with existing account. Fill password to proceed.","Dit e-mailadres hoort bij een bestaande account. U hoeft niet in te loggen als u &quot;als gast&quot; bestelt."
"1 column","1 column"
"1 column (Expanded)","1 column (Expanded)"
"2 columns","2 columns"
"2 columns alternative (Wide Shipping and Payment Sections)","2 columns alternative (Wide Shipping and Payment Sections)"
"3 columns","3 columns"
"Add ""filled"" class name to fully filled forms","Add ""filled"" class name to fully filled forms"
"1 column layout is fully supported only","1 column layout is fully supported only"
"Page Subtitle","Page Subtitle"
"Please fill in the fields below and click Place Order to complete purchase!","Please fill in the fields below and click Place Order to complete purchase!"
"Not checked (Discount form is hidden)","Not checked (Discount form is hidden)"
"Checked (Discount form is visible)","Checked (Discount form is visible)"
"Hidden (Discount form is visible)","Hidden (Discount form is visible)"
"Check, if you have a rewardpoints, giftcard or discount code","Check, if you have a rewardpoints, giftcard or discount code"
"Url Path","Url Path"
"1. Do not use Magento built-in static urls like 'checkout', 'account' etc.<br/>2. Make sure that specified path is not used by category, product or cms page.","1. Do not use Magento built-in static urls like 'checkout', 'account' etc.<br/>2. Make sure that specified path is not used by category, product or cms page."
"Allow to place order, if VIES service is busy","Allow to place order, if VIES service is busy"
"Set ""Yes"", to allow to place an order without VIES validation, when VIES service is busy","Set ""Yes"", to allow to place an order without VIES validation, when VIES service is busy"
"Use different value for Meta Title","Use different value for Meta Title"
"Register Account","Registeer account"
"Address will be saved, when some of these fields are changed","Address will be saved, when some of these fields are changed"
"Discount depends on","Discount depends on"
"Place order as guest","Plaats order als gast (en zonder wachtwoord)"
"Layout and Design","Layout en design"
"2 columns with sticky order review","2 columns with sticky order review"
"Use Smart Layout","Gebruik Smart Layout"
"Convert layout automatically for better UX","Convert layout automatically for better UX"
"'2 columns with sticky order review' will be used for customers with saved address","'2 columns with sticky order review' will be used for customers with saved address"
"Top Offset for Sticky Elements and ScrollToElement methods","Top Offset for Sticky Elements and ScrollToElement methods"
"Use it when your theme has sticky header and it covers part of sticky element or scrolled content","Use it when your theme has sticky header and it covers part of sticky element or scrolled content"
"Use JS calendar for Date of Birth field (Third-party fields may be affected too)","Use JS calendar for Date of Birth field (Third-party fields may be affected too)"
"When disabled and 'Hide field labels' is used, it's recommended to place DOB field on a separate line","When disabled and 'Hide field labels' is used, it's recommended to place DOB field on a separate line"
"Order Summary","Bestelling"
"Billing Address","Factuuradres"
"Ship to this address","Factuuradres is ook bezorgadres"
"Ship to different address","Geef een ander bezorgadres op"
"Shipping Address", "Bezorgadres"
"Forgot?", "Wachtwoord opvragen"
"Please agree to all the terms and conditions before placing the order.","Accepteer aub de algemene voorwaarden"
"Order Confirmation","Bijna klaar"
"Street Address","Straatnaam"
"State/Province","Staat of provincie"
